#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
? 〜ます             动词敬体非过去时，肯定
? 〜ません           动词敬体非过去时，否定
? 〜ました           动词敬体过去时，肯定
? 〜ませんでした     动词敬体过去时，否定

? きかない         [聞かない]        聞く:终止形,简体非过去式，否定
? はなさない       [話さない]        話す:终止形,简体非过去式，否定
? またない         [待たない]        待つ:终止形,简体非过去式，否定
? しなない         [死なない]        死ぬ:终止形,简体非过去式，否定
? よまない         [読まない]        読む:终止形,简体非过去式，否定
? ぬがない         [脱がない]        脱ぐ:终止形,简体非过去式，否定
? えらばない       [選ばない]        選ぶ:终止形,简体非过去式，否定

? しって           [知って]          知る:第二连用形，表行为方法/原因理由
? かえって         [帰って]          帰る:第二连用形，表行为方法/原因理由
? はいって         [入って]          入る:第二连用形，表行为方法/原因理由
? わかって         [分かって]        分かる:第二连用形，表行为方法/原因理由
? もらって                           もらう:第二连用形，表行为方法/原因理由
? いって           [行って]          行く:第二连用形，表行为方法/原因理由
? きいて           [聞いて]          聞く:第二连用形，表行为方法/原因理由
? はなして         [話して]          話す:第二连用形，表行为方法/原因理由
? まって           [待って]          待つ:第二连用形，表行为方法/原因理由
? しんで           [死んで]          死ぬ:第二连用形，表行为方法/原因理由
? よんで           [読んで]          読む:第二连用形，表行为方法/原因理由
? ぬいで           [脱いで]          脱ぐ:第二连用形，表行为方法/原因理由
? えらんで         [選んで]          選ぶ:第二连用形，表行为方法/原因理由

? しった           [知った]          知る:终止形,简体过去式，肯定
? かえった         [帰った]          帰る:终止形,简体过去式，肯定
? はいった         [入った]          入る:终止形,简体过去式，肯定
? わかった         [分かった]        分かる:终止形,简体过去式，肯定
? もらった                           もらう:终止形,简体过去式，肯定
? いった           [行った]          行く:终止形,简体过去式，肯定
? きいた           [聞いた]          聞く:终止形,简体过去式，肯定
? はなした         [話した]          話す:终止形,简体过去式，肯定
? まった           [待った]          待つ:终止形,简体过去式，肯定
? しんだ           [死んだ]          死ぬ:终止形,简体过去式，肯定
? よんだ           [読んだ]          読む:终止形,简体过去式，肯定
? ぬいだ           [脱いだ]          脱ぐ:终止形,简体过去式，肯定
? えらんだ         [選んだ]          選ぶ:终止形,简体过去式，肯定


1 みる             [見る]            <他动2>看，瞧
2 たべる           [食べる]          <他动2>吃，喝
2 おきる           [起きる]          <自动2>起床
0 くれる                             <他动2>给(我)
